model,population,predicted,observed,n
Production proxy,High,0.00394215,0.00000000,376
Production proxy,High,0.01435299,0.02393617,376
Production proxy,High,0.03258257,0.02393617,376
Production proxy,High,0.06806826,0.06117021,376
Production proxy,High,0.14818676,0.15159574,376
Production proxy,High,0.42962519,0.45478723,376
Production proxy,Low,0.03618001,0.18303571,224
Production proxy,Low,0.06161935,0.13392857,224
Production proxy,Low,0.08498126,0.16071429,224
Production proxy,Low,0.11562692,0.21875000,224
Production proxy,Low,0.15750281,0.21428571,224
Production proxy,Low,0.27332708,0.19196429,224
Same-information challenger,High,0.00687355,0.00265957,376
Same-information challenger,High,0.01331831,0.02393617,376
Same-information challenger,High,0.02705509,0.02393617,376
Same-information challenger,High,0.06185097,0.05319149,376
Same-information challenger,High,0.14562314,0.15957447,376
Same-information challenger,High,0.44764279,0.45212766,376
Same-information challenger,Low,0.07048688,0.19642857,224
Same-information challenger,Low,0.09292952,0.18666667,225
Same-information challenger,Low,0.10041281,0.13777778,225
Same-information challenger,Low,0.11361018,0.17567568,222
Same-information challenger,Low,0.14709087,0.19196429,224
Same-information challenger,Low,0.19906253,0.21428571,224
Additional authorization signal,High,0.00578198,0.00265957,376
Additional authorization signal,High,0.01302804,0.02393617,376
Additional authorization signal,High,0.02587307,0.02393617,376
Additional authorization signal,High,0.05723661,0.06382979,376
Additional authorization signal,High,0.14355247,0.14893617,376
Additional authorization signal,High,0.45402233,0.45212766,376
Additional authorization signal,Low,0.02813035,0.06250000,224
Additional authorization signal,Low,0.04135860,0.06250000,224
Additional authorization signal,Low,0.05685335,0.11607143,224
Additional authorization signal,Low,0.08838881,0.16071429,224
Additional authorization signal,Low,0.15253224,0.24107143,224
Additional authorization signal,Low,0.36802200,0.45982143,224
Specialized low-observability,Low,0.01023388,0.02232143,224
Specialized low-observability,Low,0.02636989,0.08035714,224
Specialized low-observability,Low,0.05178663,0.08928571,224
Specialized low-observability,Low,0.08720517,0.16517857,224
Specialized low-observability,Low,0.15602282,0.25000000,224
Specialized low-observability,Low,0.39224654,0.49553571,224
