week,transactions,settled_value,naive_rate,fixed_window_rate,mature,recognition_rate
0,3109,592728.34652187,0.00817262,0.00786444,1,0.00026608
1,3012,600816.40551043,0.01021101,0.00954800,1,0.00094320
2,2949,555717.87849995,0.00930330,0.00921551,1,0.00348719
3,3132,612017.81024791,0.00714491,0.00663937,1,0.00679397
4,2968,586177.35474947,0.01066511,0.01031387,1,0.00975120
5,3022,596569.94383784,0.01066543,0.01000119,1,0.00744339
6,2913,563314.10057609,0.01139360,0.01099722,1,0.00915111
7,3056,585979.95440861,0.01358195,0.01240393,1,0.00998736
8,2951,566123.81134664,0.00733958,0.00698638,1,0.00933966
9,2984,596664.82958629,0.01073847,0.01034457,1,0.01094655
10,2972,575826.79741698,0.00924155,0.00863590,1,0.01217887
11,2950,584094.58234481,0.00972585,0.00897450,1,0.01067312
12,3040,586315.99893420,0.00729330,0.00694725,1,0.00807661
13,3050,582031.33812012,0.01142227,0.01045912,1,0.01035329
14,3031,593575.13393409,0.01125520,0.01096623,1,0.01161874
15,2952,552333.99446361,0.01036419,0.00970308,1,0.01204532
16,2897,551103.25624515,0.01086557,0.01004392,1,0.00798759
17,2956,564763.93206677,0.00736391,0.00730763,1,0.01125803
18,3015,583161.09492356,0.01118432,0.01059396,1,0.00860405
19,3043,585153.34087730,0.00854440,0.00776639,1,0.00858466
20,3081,598204.35121023,0.00808656,0.00699111,1,0.00886036
21,2990,587635.24870075,0.02088796,0.02034593,1,0.00784596
22,3053,591236.34641322,0.02670732,0.02614484,1,0.01254289
23,2893,573380.47376189,0.02413894,0.02391350,1,0.02031997
24,3030,580603.70084136,0.02264603,0.02303454,0,0.01787405
25,3037,590168.85521832,0.02280756,0.02639278,0,0.02452925
26,3046,582068.26100956,0.01708344,0.02127885,0,0.02470523
27,2972,592282.76141193,0.01385366,0.02543062,0,0.02266898
28,2924,562567.23614524,0.00711077,0.02446910,0,0.02171322
29,2972,586516.17932318,0.00231284,0.01940624,0,0.02769668
