seed,intervention,value,backlog
0,Baseline,-3122242.13382803,2606.00000000
0,Capacity,-2465772.25562024,593.00000000
0,Automation,-2624523.36979886,1549.00000000
0,Combined,-2237905.94672949,248.00000000
0,Interaction,-269852.45513842,
1,Baseline,-3010551.49093386,2632.00000000
1,Capacity,-2384630.99766014,609.00000000
1,Automation,-2508222.06925957,1482.00000000
1,Combined,-2145394.85449390,276.00000000
1,Interaction,-263093.27850805,
2,Baseline,-3039238.96096454,2672.00000000
2,Capacity,-2424298.19761050,603.00000000
2,Automation,-2554042.93744395,1542.00000000
2,Combined,-2174976.48290950,226.00000000
2,Interaction,-235874.30881959,
3,Baseline,-3047738.29061535,2620.00000000
3,Capacity,-2464249.60107658,621.00000000
3,Automation,-2565167.28751273,1502.00000000
3,Combined,-2228609.19019336,280.00000000
3,Interaction,-246930.59221940,
4,Baseline,-3062500.81471918,2710.00000000
4,Capacity,-2436661.45869779,605.00000000
4,Automation,-2569979.88273747,1576.00000000
4,Combined,-2207587.16104062,263.00000000
4,Interaction,-263446.63432454,
5,Baseline,-3081565.96840218,2571.00000000
5,Capacity,-2488344.48499612,616.00000000
5,Automation,-2601879.26646365,1500.00000000
5,Combined,-2254546.32819497,264.00000000
5,Interaction,-245888.54513738,
6,Baseline,-3071631.85755879,2631.00000000
6,Capacity,-2462251.51159169,646.00000000
6,Automation,-2604943.27461002,1510.00000000
6,Combined,-2249459.00081646,293.00000000
6,Interaction,-253896.07217353,
7,Baseline,-3078650.62114890,2635.00000000
7,Capacity,-2433870.81448162,600.00000000
7,Automation,-2594659.30363557,1537.00000000
7,Combined,-2219665.01233645,275.00000000
7,Interaction,-269785.51536816,
8,Baseline,-3033705.17151067,2667.00000000
8,Capacity,-2396088.26305546,607.00000000
8,Automation,-2559939.37700674,1569.00000000
8,Combined,-2177315.60244735,256.00000000
8,Interaction,-254993.13389582,
9,Baseline,-3107207.40769386,2634.00000000
9,Capacity,-2470511.13065739,630.00000000
9,Automation,-2617084.67701116,1699.00000000
9,Combined,-2213033.08287685,273.00000000
9,Interaction,-232644.68290215,
10,Baseline,-3030766.85945575,2659.00000000
10,Capacity,-2409938.26803769,604.00000000
10,Automation,-2554933.51804679,1459.00000000
10,Combined,-2196444.31798665,279.00000000
10,Interaction,-262339.39135792,
11,Baseline,-3029503.77072527,2658.00000000
11,Capacity,-2401792.83518495,593.00000000
11,Automation,-2571192.63988739,1511.00000000
11,Combined,-2187812.82922409,262.00000000
11,Interaction,-244331.12487703,
