week,payment_type,transactions,settled_value,fraud_count,fixed_window_net_rate,asof_net_rate,mature
0,CNP,2408,465639.60676471,50,0.00856072,0.00895301,1
0,Non-CNP,701,127088.73975715,6,0.00531335,0.00531335,1
1,CNP,2353,470036.93321385,63,0.00962134,0.01046881,1
1,Non-CNP,659,130779.47229658,13,0.00928443,0.00928443,1
2,CNP,2331,440269.39228120,59,0.00985333,0.00996413,1
2,Non-CNP,618,115448.48621875,9,0.00678316,0.00678316,1
3,CNP,2439,478091.97950425,43,0.00738833,0.00803549,1
3,Non-CNP,693,133925.83074366,9,0.00396570,0.00396570,1
4,CNP,2331,465475.92134344,50,0.00996085,0.01040317,1
4,Non-CNP,637,120701.43340603,12,0.01167527,0.01167527,1
5,CNP,2381,467695.52709107,62,0.01145108,0.01217852,1
5,Non-CNP,641,128874.41674677,7,0.00473941,0.00517433,1
6,CNP,2310,440350.57450416,57,0.01201846,0.01252552,1
6,Non-CNP,603,122963.52607193,10,0.00734002,0.00734002,1
7,CNP,2377,456833.61571526,69,0.01402517,0.01464890,1
7,Non-CNP,679,129146.33869335,12,0.00666905,0.00980780,1
8,CNP,2313,439816.78229242,50,0.00755288,0.00800752,1
8,Non-CNP,638,126307.02905422,7,0.00501375,0.00501375,1
9,CNP,2336,464939.10806863,57,0.01080063,0.01130613,1
9,Non-CNP,648,131725.72151766,12,0.00873487,0.00873487,1
10,CNP,2312,446698.37252139,61,0.00963184,0.01035460,1
10,Non-CNP,660,129128.42489559,11,0.00519059,0.00539113,1
11,CNP,2326,456091.61218178,55,0.00890964,0.00987186,1
11,Non-CNP,624,128002.97016303,11,0.00920560,0.00920560,1
12,CNP,2351,455142.69741378,38,0.00678025,0.00715895,1
12,Non-CNP,689,131173.30152042,11,0.00752670,0.00775950,1
13,CNP,2423,465262.66169112,62,0.01179149,0.01269644,1
13,Non-CNP,627,116768.67642900,7,0.00515033,0.00634534,1
14,CNP,2412,473539.60106164,57,0.01118854,0.01149506,1
14,Non-CNP,619,120035.53287245,12,0.01008924,0.01030899,1
15,CNP,2292,431601.91512319,50,0.01059598,0.01133573,1
15,Non-CNP,660,120732.07934042,9,0.00651108,0.00689105,1
16,CNP,2221,426088.71360748,54,0.01137586,0.01208676,1
16,Non-CNP,676,125014.54263767,10,0.00550425,0.00670339,1
17,CNP,2321,445490.43959786,36,0.00747630,0.00754765,1
17,Non-CNP,635,119273.49246891,13,0.00667763,0.00667763,1
18,CNP,2355,458372.27413947,61,0.01224431,0.01267332,1
18,Non-CNP,660,124788.82078409,7,0.00453192,0.00571494,1
19,CNP,2339,449321.27063240,50,0.00949715,0.01027179,1
19,Non-CNP,704,135832.07024490,5,0.00204115,0.00283034,1
20,CNP,2423,470465.86077467,42,0.00706796,0.00794322,1
20,Non-CNP,658,127738.49043556,9,0.00670803,0.00861449,1
21,CNP,2372,460837.78266686,97,0.02438666,0.02507783,1
21,Non-CNP,618,126797.46603388,6,0.00566014,0.00566014,1
22,CNP,2347,450642.62258424,132,0.02926896,0.03000692,1
22,Non-CNP,706,140593.72382898,20,0.01613115,0.01613115,1
23,CNP,2249,442367.51250108,109,0.02845035,0.02874255,1
23,Non-CNP,644,131012.96126081,12,0.00859478,0.00859478,1
24,CNP,2377,455612.52493932,118,0.02444467,0.02414805,0
24,Non-CNP,653,124991.17590205,17,0.01789438,0.01717090,0
25,CNP,2349,467372.85769905,121,0.03048290,0.02599426,0
25,Non-CNP,688,122795.99751927,15,0.01082544,0.01067871,0
26,CNP,2377,448588.62516234,122,0.02240625,0.01796079,0
26,Non-CNP,669,133479.63584722,17,0.01748997,0.01413491,0
27,CNP,2324,463315.74476543,116,0.02844018,0.01415365,0
27,Non-CNP,648,128967.01664650,13,0.01461873,0.01277592,0
28,CNP,2269,434451.05167154,128,0.02935476,0.00838176,0
28,Non-CNP,655,128116.18447371,11,0.00790149,0.00280072,0
29,CNP,2327,462373.35557234,100,0.02172512,0.00269643,0
29,Non-CNP,645,124142.82375084,12,0.01076953,0.00088416,0
