scenario,seed,policy,value,ending_backlog,miss_rate,average_saturation
Base,0,fixed_0.2,-3122242.13382803,2606,0.12874079,0.20000000
Base,0,fixed_0.5,-2213427.73998808,1617,0.07292282,0.50000000
Base,0,fixed_0.8,-1749513.38262951,1278,0.03699060,0.80000000
Base,0,adaptive,-1749513.38262951,1278,0.03699060,0.80000000
Base,0,delayed,-1749513.38262951,1278,0.03699060,0.80000000
Base,1,fixed_0.2,-3010551.49093386,2632,0.12180871,0.20000000
Base,1,fixed_0.5,-2167388.92014714,1700,0.06817778,0.50000000
Base,1,fixed_0.8,-1708719.21425805,1346,0.03230673,0.80000000
Base,1,adaptive,-1708719.21425805,1346,0.03230673,0.80000000
Base,1,delayed,-1708719.21425805,1346,0.03230673,0.80000000
Base,2,fixed_0.2,-3039238.96096454,2672,0.12102279,0.20000000
Base,2,fixed_0.5,-2153445.09943689,1693,0.06737715,0.50000000
Base,2,fixed_0.8,-1716652.93066688,1361,0.03250298,0.80000000
Base,2,adaptive,-1716652.93066688,1361,0.03250298,0.80000000
Base,2,delayed,-1716652.93066688,1361,0.03250298,0.80000000
Base,3,fixed_0.2,-3047738.29061535,2620,0.12111801,0.20000000
Base,3,fixed_0.5,-2174783.92511046,1662,0.06668644,0.50000000
Base,3,fixed_0.8,-1749120.13300376,1314,0.03312590,0.80000000
Base,3,adaptive,-1749120.13300376,1314,0.03312590,0.80000000
Base,3,delayed,-1749120.13300376,1314,0.03312590,0.80000000
Base,4,fixed_0.2,-3062500.81471918,2710,0.12033543,0.20000000
Base,4,fixed_0.5,-2198616.26977869,1694,0.06996225,0.50000000
Base,4,fixed_0.8,-1742991.35048465,1333,0.03481746,0.80000000
Base,4,adaptive,-1742991.35048465,1333,0.03481746,0.80000000
Base,4,delayed,-1742991.35048465,1333,0.03481746,0.80000000
Base,5,fixed_0.2,-3081565.96840218,2571,0.12979737,0.20000000
Base,5,fixed_0.5,-2223141.94582616,1595,0.07439385,0.50000000
Base,5,fixed_0.8,-1779245.26177065,1232,0.03980412,0.80000000
Base,5,adaptive,-1779245.26177065,1232,0.03980412,0.80000000
Base,5,delayed,-1779245.26177065,1232,0.03980412,0.80000000
Base,6,fixed_0.2,-3071631.85755879,2631,0.12473152,0.20000000
Base,6,fixed_0.5,-2248827.02078636,1721,0.07178945,0.50000000
