scenario,policy,mean,std,count,half_width,lower,upper
Base,adaptive,447461.21909642,11464.79720649,12,7284.38461640,440176.83448002,454745.60371281
Base,delayed,447461.21909642,11464.79720649,12,7284.38461640,440176.83448002,454745.60371281
Base,fixed_0.2,-868950.14557973,23133.30118546,12,14698.19834113,-883648.34392086,-854251.94723859
Base,fixed_0.5,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000
Base,fixed_0.8,447461.21909642,11464.79720649,12,7284.38461640,440176.83448002,454745.60371281
High displacement,adaptive,128836.48689573,13302.17232100,12,8451.79706841,120384.68982732,137288.28396414
High displacement,delayed,128836.48689573,13302.17232100,12,8451.79706841,120384.68982732,137288.28396414
High displacement,fixed_0.2,-666648.17829231,18298.45010054,12,11626.28051902,-678274.45881133,-655021.89777330
High displacement,fixed_0.5,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000
High displacement,fixed_0.8,128836.48689573,13302.17232100,12,8451.79706841,120384.68982732,137288.28396414
High friction cost,adaptive,-178020.78090358,11464.79720649,12,7284.38461639,-185305.16551998,-170736.39628719
High friction cost,delayed,-178020.78090358,11464.79720649,12,7284.38461639,-185305.16551998,-170736.39628719
High friction cost,fixed_0.2,-243468.14557973,23133.30118546,12,14698.19834113,-258166.34392086,-228769.94723859
High friction cost,fixed_0.5,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000
High friction cost,fixed_0.8,-178020.78090358,11464.79720649,12,7284.38461639,-185305.16551998,-170736.39628719
Low arrivals,adaptive,-167315.79068910,15598.63753809,12,9910.90145536,-177226.69214446,-157404.88923374
Low arrivals,delayed,-114917.83246372,16163.41177120,12,10269.74188326,-125187.57434698,-104648.09058046
Low arrivals,fixed_0.2,-339533.11269801,11372.85689086,12,7225.96852680,-346759.08122481,-332307.14417121
Low arrivals,fixed_0.5,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000
Low arrivals,fixed_0.8,185694.61341466,5225.83234671,12,3320.33546417,182374.27795049,189014.94887883
