merchant,recent,route,missing,transactions,fraud_count,attempted_settled_value,net_loss,fraud_incidence,net_loss_rate
A,0,0,0,12531,181,2325559.84083792,14065.03731252,0.01444418,0.00604802
A,0,0,1,798,11,147583.76933671,1078.25396962,0.01378446,0.00730605
A,0,1,0,1696,92,314327.74217984,10101.06637422,0.05424528,0.03213546
A,0,1,1,1100,70,210461.46616865,6658.31490480,0.06363636,0.03163674
A,1,0,0,2076,49,388210.85273499,4109.57625231,0.02360308,0.01058594
A,1,0,1,130,4,25423.17045654,272.78842318,0.03076923,0.01072991
A,1,1,0,2485,190,466134.86341662,24599.14599819,0.07645875,0.05277259
A,1,1,1,1677,186,311245.10223318,25034.37759383,0.11091234,0.08043300
B,0,0,0,12267,355,2644422.24666574,31376.62576677,0.02893943,0.01186521
B,0,0,1,773,27,163905.00993007,1999.16659190,0.03492885,0.01219710
B,0,1,0,1761,52,378747.86994321,5395.36650647,0.02952868,0.01424527
B,0,1,1,1196,46,258465.21068181,5279.28778876,0.03846154,0.02042553
B,1,0,0,4966,253,1067721.41211999,24489.86309901,0.05094644,0.02293657
B,1,0,1,310,23,73856.61184848,2960.24646436,0.07419355,0.04008099
B,1,1,0,735,39,152184.21661573,4602.76180431,0.05306122,0.03024467
B,1,1,1,414,36,89325.50189947,3861.33735088,0.08695652,0.04322772
Peer,0,0,0,24895,394,4650562.15824423,33292.93580703,0.01582647,0.00715891
Peer,0,0,1,1581,28,300018.17815247,2589.61390227,0.01771031,0.00863152
Peer,0,1,0,3472,55,637277.82951223,4571.32208978,0.01584101,0.00717320
Peer,0,1,1,2266,40,434632.82644890,4735.72247842,0.01765225,0.01089592
Peer,1,0,0,9893,264,1865264.64883669,26646.20229512,0.02668554,0.01428548
Peer,1,0,1,661,31,120722.15776643,3066.66469373,0.04689864,0.02540267
Peer,1,1,0,1416,40,266957.35936063,4853.97611914,0.02824859,0.01818259
Peer,1,1,1,901,28,166123.27325685,3515.55513831,0.03107658,0.02116233
