block,week,week_in_block,channel,saturation,assignment_probability,prior_memory,memory,displaced_out,displaced_in,attack_attempts,indexed_loss
0,0,1,0,0.50000000,0.33333333,0.20000000,0.29000000,145.00000000,145.00000000,1000.00000000,803.14261561
0,0,1,1,0.80000000,0.33333333,0.20000000,0.38000000,190.00000000,136.00000000,946.00000000,436.85790812
0,0,1,2,0.80000000,0.33333333,0.20000000,0.38000000,190.00000000,136.00000000,946.00000000,394.32948161
0,0,1,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,154.00000000,1054.00000000,865.41312362
0,0,1,4,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,154.00000000,1054.00000000,884.97671845
0,0,1,5,0.50000000,0.33333333,0.20000000,0.29000000,145.00000000,145.00000000,1000.00000000,613.33704535
0,1,2,0,0.50000000,0.33333333,0.20000000,0.35300000,176.50000000,176.50000000,1000.00000000,669.12889044
0,1,2,1,0.80000000,0.33333333,0.20000000,0.50600000,253.00000000,161.20000000,908.20000000,558.14193102
0,1,2,2,0.80000000,0.33333333,0.20000000,0.50600000,253.00000000,161.20000000,908.20000000,414.03768641
0,1,2,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,191.80000000,1091.80000000,995.66229475
0,1,2,4,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,191.80000000,1091.80000000,1105.57261829
0,1,2,5,0.50000000,0.33333333,0.20000000,0.35300000,176.50000000,176.50000000,1000.00000000,801.36484979
0,2,3,0,0.50000000,0.33333333,0.20000000,0.39710000,198.55000000,198.55000000,1000.00000000,798.39599224
0,2,3,1,0.80000000,0.33333333,0.20000000,0.59420000,297.10000000,178.84000000,881.74000000,423.98486744
0,2,3,2,0.80000000,0.33333333,0.20000000,0.59420000,297.10000000,178.84000000,881.74000000,449.80630165
0,2,3,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,218.26000000,1118.26000000,1143.49587778
0,2,3,4,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,218.26000000,1118.26000000,740.09022420
0,2,3,5,0.50000000,0.33333333,0.20000000,0.39710000,198.55000000,198.55000000,1000.00000000,841.19460203
0,3,4,0,0.50000000,0.33333333,0.20000000,0.42797000,213.98500000,213.98500000,1000.00000000,771.48244438
0,3,4,1,0.80000000,0.33333333,0.20000000,0.65594000,327.97000000,191.18800000,863.21800000,457.72048316
0,3,4,2,0.80000000,0.33333333,0.20000000,0.65594000,327.97000000,191.18800000,863.21800000,446.98962078
0,3,4,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,236.78200000,1136.78200000,1139.52233941
0,3,4,4,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,236.78200000,1136.78200000,913.34462182
0,3,4,5,0.50000000,0.33333333,0.20000000,0.42797000,213.98500000,213.98500000,1000.00000000,701.12963514
1,4,1,0,0.80000000,0.33333333,0.42797000,0.53957900,269.78950000,215.78950000,946.00000000,516.25315027
1,4,1,1,0.20000000,0.33333333,0.65594000,0.51915800,259.57900000,217.83160000,958.25260000,686.45601487
1,4,1,2,0.50000000,0.33333333,0.65594000,0.60915800,304.57900000,208.83160000,904.25260000,568.85758235
1,4,1,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,249.74740000,1149.74740000,1147.66263428
1,4,1,4,0.50000000,0.33333333,0.20000000,0.29000000,145.00000000,240.74740000,1095.74740000,775.55559169
1,4,1,5,0.80000000,0.33333333,0.42797000,0.53957900,269.78950000,215.78950000,946.00000000,506.60876046
1,5,2,0,0.80000000,0.33333333,0.42797000,0.61770530,308.85265000,217.05265000,908.20000000,456.00713333
1,5,2,1,0.20000000,0.33333333,0.65594000,0.42341060,211.70530000,236.48212000,1024.77682000,644.62801987
1,5,2,2,0.50000000,0.33333333,0.65594000,0.57641060,288.20530000,221.18212000,932.97682000,653.71556496
1,5,2,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,258.82318000,1158.82318000,954.85241801
1,5,2,4,0.50000000,0.33333333,0.20000000,0.35300000,176.50000000,243.52318000,1067.02318000,729.43948315
1,5,2,5,0.80000000,0.33333333,0.42797000,0.61770530,308.85265000,217.05265000,908.20000000,407.46808670
1,6,3,0,0.80000000,0.33333333,0.42797000,0.67239371,336.19685500,217.93685500,881.74000000,459.42306936
1,6,3,1,0.20000000,0.33333333,0.65594000,0.35638742,178.19371000,249.53748400,1071.34377400,985.55072906
1,6,3,2,0.50000000,0.33333333,0.65594000,0.55348742,276.74371000,229.82748400,953.08377400,612.90728055
1,6,3,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,265.17622600,1165.17622600,992.51985300
1,6,3,4,0.50000000,0.33333333,0.20000000,0.39710000,198.55000000,245.46622600,1046.91622600,639.31876420
1,6,3,5,0.80000000,0.33333333,0.42797000,0.67239371,336.19685500,217.93685500,881.74000000,497.51469216
1,7,4,0,0.80000000,0.33333333,0.42797000,0.71067560,355.33779850,218.55579850,863.21800000,383.80606116
1,7,4,1,0.20000000,0.33333333,0.65594000,0.30947119,154.73559700,258.67623880,1103.94064180,1016.17803071
1,7,4,2,0.50000000,0.33333333,0.65594000,0.53744119,268.72059700,235.87923880,967.15864180,645.62864068
1,7,4,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,269.62335820,1169.62335820,1016.81662782
1,7,4,4,0.50000000,0.33333333,0.20000000,0.42797000,213.98500000,246.82635820,1032.84135820,693.82585533
1,7,4,5,0.80000000,0.33333333,0.42797000,0.71067560,355.33779850,218.55579850,863.21800000,494.73613689
2,8,1,0,0.80000000,0.33333333,0.71067560,0.73747292,368.73645895,218.98905895,850.25260000,416.11164140
2,8,1,1,0.50000000,0.33333333,0.30947119,0.36662984,183.31491790,256.07336716,1072.75844926,720.91081861
2,8,1,2,0.80000000,0.33333333,0.53744119,0.61620884,308.10441790,231.11546716,923.01104926,532.81887247
2,8,1,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,272.73635074,1172.73635074,987.36545073
2,8,1,4,0.20000000,0.33333333,0.42797000,0.35957900,179.78950000,256.77845074,1076.98895074,939.91297226
2,8,1,5,0.50000000,0.33333333,0.71067560,0.64747292,323.73645895,227.98905895,904.25260000,562.11916393
2,9,2,0,0.80000000,0.33333333,0.71067560,0.75623104,378.11552127,219.29234127,841.17682000,440.73905516
2,9,2,1,0.50000000,0.33333333,0.30947119,0.40664089,203.32044253,254.25135701,1050.93091448,566.65508796
2,9,2,2,0.80000000,0.33333333,0.53744119,0.67134619,335.67309253,227.78082701,892.10773448,412.11092493
2,9,2,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,274.91544552,1174.91544552,839.57697459
2,9,2,4,0.20000000,0.33333333,0.42797000,0.31170530,155.85265000,263.74491552,1107.89226552,819.25540098
2,9,2,5,0.50000000,0.33333333,0.71067560,0.60323104,301.61552127,234.59234127,932.97682000,634.96002163
2,10,3,0,0.80000000,0.33333333,0.71067560,0.76936173,384.68086489,219.50463889,834.82377400,364.44409886
2,10,3,1,0.50000000,0.33333333,0.30947119,0.43464862,217.32430977,252.97594991,1035.65164014,769.44606485
2,10,3,2,0.80000000,0.33333333,0.53744119,0.70994233,354.97116477,225.44657891,870.47541414,392.35520021
2,10,3,3,0.20000000,0.33333333,0.20000000,0.20000000,100.00000000,276.44081186,1176.44081186,1227.12408836
2,10,3,4,0.20000000,0.33333333,0.42797000,0.27819371,139.09685500,268.62144086,1129.52458586,1060.08521282
