day,policy,saturation,memory,backlog_start,arrivals,closed,backlog,missed,gross,liability,recovered,legitimate_margin,authentication_cost,operating_cost,value,service_work,capacity,scenario
0,fixed_0.2,0.20000000,0.20000000,1870,215,182,1903,0,84720.00650063,73198.08561654,32097.05336851,5103.42857143,154.28571429,164.57142857,-36316.46081946,182.00000000,182.85714286,Base
1,fixed_0.2,0.20000000,0.20000000,1903,259,182,1980,0,110185.03662173,95199.87164117,30311.76853301,5103.42857143,154.28571429,164.57142857,-60103.53167959,182.00000000,182.85714286,Base
2,fixed_0.2,0.20000000,0.20000000,1980,251,182,2049,0,94958.26788202,82043.94345007,29603.98023773,5103.42857143,154.28571429,164.57142857,-47655.39178377,182.00000000,182.85714286,Base
3,fixed_0.2,0.20000000,0.20000000,2049,234,182,2101,0,90184.20033855,77919.14909251,28663.07688617,5103.42857143,154.28571429,164.57142857,-44471.50077777,182.00000000,182.85714286,Base
4,fixed_0.2,0.20000000,0.20000000,2101,230,182,2149,0,90943.73194242,78575.38439825,29401.42103351,5103.42857143,154.28571429,164.57142857,-44389.39193617,182.00000000,182.85714286,Base
5,fixed_0.2,0.20000000,0.20000000,2149,233,182,2200,0,84837.57976281,73299.66891507,30029.20415348,5103.42857143,154.28571429,164.57142857,-38485.89333302,182.00000000,182.85714286,Base
6,fixed_0.2,0.20000000,0.20000000,2200,252,182,2270,0,92056.33557043,79536.67393286,28164.84890623,5103.42857143,154.28571429,164.57142857,-46587.25359805,182.00000000,182.85714286,Base
7,fixed_0.2,0.20000000,0.20000000,2270,279,182,2367,0,105522.65469037,91171.57365248,34660.77348708,5103.42857143,154.28571429,164.57142857,-51726.22873682,182.00000000,182.85714286,Base
8,fixed_0.2,0.20000000,0.20000000,2367,274,182,2459,0,110449.43083484,95428.30824130,29844.71101503,5103.42857143,154.28571429,164.57142857,-60799.02579770,182.00000000,182.85714286,Base
9,fixed_0.2,0.20000000,0.20000000,2459,234,182,2511,0,86497.20452861,74733.58471272,34571.79514437,5103.42857143,154.28571429,164.57142857,-35377.21813977,182.00000000,182.85714286,Base
10,fixed_0.2,0.20000000,0.20000000,2511,243,169,2585,0,93140.84975020,80473.69418417,25946.02420771,5103.42857143,154.28571429,164.57142857,-49743.09854789,182.25000000,182.85714286,Base
11,fixed_0.2,0.20000000,0.20000000,2585,267,165,2687,0,95296.24812311,82335.95837837,25279.11842068,5103.42857143,154.28571429,164.57142857,-52272.26852911,182.50000000,182.85714286,Base
12,fixed_0.2,0.20000000,0.20000000,2687,246,164,2769,0,97626.48988799,84349.28726322,23438.36513375,5103.42857143,154.28571429,164.57142857,-56126.35070091,182.00000000,182.85714286,Base
13,fixed_0.2,0.20000000,0.20000000,2769,221,166,2824,2,88739.84258668,76671.22399489,25298.49105914,5103.42857143,154.28571429,164.57142857,-46588.16150717,182.50000000,182.85714286,Base
14,fixed_0.2,0.20000000,0.20000000,2824,263,175,2912,6,111802.80685689,96597.62512435,31168.92969122,5103.42857143,154.28571429,164.57142857,-60644.12400456,182.50000000,182.85714286,Base
15,fixed_0.2,0.20000000,0.20000000,2912,236,167,2981,3,93023.54584242,80372.34360785,25917.93267703,5103.42857143,154.28571429,164.57142857,-49669.83950225,182.25000000,182.85714286,Base
16,fixed_0.2,0.20000000,0.20000000,2981,268,169,3080,5,112318.13537712,97042.86896583,22765.52490588,5103.42857143,154.28571429,164.57142857,-69492.77263138,182.25000000,182.85714286,Base
17,fixed_0.2,0.20000000,0.20000000,3080,274,231,3123,64,98495.24511936,85099.89178313,27727.12297162,5103.42857143,154.28571429,164.57142857,-52588.19738293,182.50000000,182.85714286,Base
18,fixed_0.2,0.20000000,0.20000000,3123,240,233,3130,66,92115.83934172,79588.08519125,24896.13997131,5103.42857143,154.28571429,164.57142857,-49907.37379137,182.50000000,182.85714286,Base
19,fixed_0.2,0.20000000,0.20000000,3130,254,251,3133,85,103505.79435805,89429.00632535,27926.56104465,5103.42857143,154.28571429,164.57142857,-56717.87385213,182.25000000,182.85714286,Base
20,fixed_0.2,0.20000000,0.20000000,3133,244,280,3097,113,93140.72679792,80473.58795341,25366.57888878,5103.42857143,154.28571429,164.57142857,-50322.43763605,182.75000000,182.85714286,Base
21,fixed_0.2,0.20000000,0.20000000,3097,254,272,3079,107,91409.10109874,78977.46334931,25662.67840015,5103.42857143,154.28571429,164.57142857,-48530.21352059,182.50000000,182.85714286,Base
22,fixed_0.2,0.20000000,0.20000000,3079,262,235,3106,69,100150.31882469,86529.87546453,25520.06739970,5103.42857143,154.28571429,164.57142857,-56225.23663626,182.75000000,182.85714286,Base
23,fixed_0.2,0.20000000,0.20000000,3106,233,240,3099,77,85992.50977564,74297.52844615,23612.94703483,5103.42857143,154.28571429,164.57142857,-45900.00998275,182.00000000,182.85714286,Base
24,fixed_0.2,0.20000000,0.20000000,3099,261,269,3091,104,101785.99086167,87943.09610448,24942.34445103,5103.42857143,154.28571429,164.57142857,-58216.18022488,182.25000000,182.85714286,Base
25,fixed_0.2,0.20000000,0.20000000,3091,265,249,3107,81,99588.70104312,86044.63770126,26967.85429154,5103.42857143,154.28571429,164.57142857,-54292.21198115,182.75000000,182.85714286,Base
26,fixed_0.2,0.20000000,0.20000000,3107,252,220,3139,53,86403.27530779,74652.42986593,29250.59804509,5103.42857143,154.28571429,164.57142857,-40617.26039227,182.75000000,182.85714286,Base
27,fixed_0.2,0.20000000,0.20000000,3139,249,263,3125,96,93463.54219115,80752.50045316,27138.94420751,5103.42857143,154.28571429,164.57142857,-48828.98481707,182.75000000,182.85714286,Base
28,fixed_0.2,0.20000000,0.20000000,3125,133,236,3022,69,43133.75552301,37267.56477188,30492.50125594,5103.42857143,154.28571429,164.57142857,-1990.49208737,182.75000000,182.85714286,Base
29,fixed_0.2,0.20000000,0.20000000,3022,142,268,2896,101,57753.94244132,49899.40626930,27641.34591251,5103.42857143,154.28571429,164.57142857,-17473.48892822,182.50000000,182.85714286,Base
30,fixed_0.2,0.20000000,0.20000000,2896,150,272,2774,107,56857.55580565,49124.92821608,21731.47459287,5103.42857143,154.28571429,164.57142857,-22608.88219464,182.50000000,182.85714286,Base
31,fixed_0.2,0.20000000,0.20000000,2774,153,241,2686,75,61563.47461106,53190.84206396,26002.77593194,5103.42857143,154.28571429,164.57142857,-22403.49470345,182.75000000,182.85714286,Base
32,fixed_0.2,0.20000000,0.20000000,2686,141,253,2574,88,52377.18124440,45253.88459516,25406.57813677,5103.42857143,154.28571429,164.57142857,-15062.73502982,182.25000000,182.85714286,Base
33,fixed_0.2,0.20000000,0.20000000,2574,156,245,2485,79,58156.11412051,50246.88260012,21811.19700534,5103.42857143,154.28571429,164.57142857,-23651.11416621,182.75000000,182.85714286,Base
34,fixed_0.2,0.20000000,0.20000000,2485,157,253,2389,88,50439.41392699,43579.65363292,25363.87989489,5103.42857143,154.28571429,164.57142857,-13431.20230947,182.25000000,182.85714286,Base
35,fixed_0.2,0.20000000,0.20000000,2389,154,263,2280,97,58069.79668903,50172.30433932,24253.14759453,5103.42857143,154.28571429,164.57142857,-21134.58531622,182.00000000,182.85714286,Base
36,fixed_0.2,0.20000000,0.20000000,2280,158,234,2204,67,64967.48097686,56131.90356401,27013.28336064,5103.42857143,154.28571429,164.57142857,-24334.04877480,182.00000000,182.85714286,Base
37,fixed_0.2,0.20000000,0.20000000,2204,170,262,2112,94,67594.79646021,58401.90414162,22301.66331429,5103.42857143,154.28571429,164.57142857,-31315.66939876,182.75000000,182.85714286,Base
38,fixed_0.2,0.20000000,0.20000000,2112,140,264,1988,97,52774.91367917,45597.52541880,23693.65777613,5103.42857143,154.28571429,164.57142857,-17119.29621410,182.25000000,182.85714286,Base
39,fixed_0.2,0.20000000,0.20000000,1988,157,251,1894,85,62370.51388659,53888.12399802,23548.29470843,5103.42857143,154.28571429,164.57142857,-25555.25786101,182.75000000,182.85714286,Base
40,fixed_0.2,0.20000000,0.20000000,1894,149,250,1793,83,56425.10644087,48751.29196491,24415.25717658,5103.42857143,154.28571429,164.57142857,-19551.46335976,182.25000000,182.85714286,Base
41,fixed_0.2,0.20000000,0.20000000,1793,154,170,1777,5,59200.41827750,51149.16139176,23688.20826581,5103.42857143,154.28571429,164.57142857,-22676.38169738,182.50000000,182.85714286,Base
42,fixed_0.2,0.20000000,0.20000000,1777,149,168,1758,2,54811.90745180,47357.48803835,23406.71320806,5103.42857143,154.28571429,164.57142857,-19166.20340172,182.00000000,182.85714286,Base
43,fixed_0.2,0.20000000,0.20000000,1758,173,166,1765,3,68832.16486841,59470.99044631,24461.61621879,5103.42857143,154.28571429,164.57142857,-30224.80279895,182.00000000,182.85714286,Base
44,fixed_0.2,0.20000000,0.20000000,1765,137,164,1738,0,54064.34990940,46711.59832172,23221.47392759,5103.42857143,154.28571429,164.57142857,-18705.55296556,182.50000000,182.85714286,Base
45,fixed_0.2,0.20000000,0.20000000,1738,146,168,1716,2,54174.58613281,46806.84241875,25008.10184796,5103.42857143,154.28571429,164.57142857,-17014.16914221,182.25000000,182.85714286,Base
46,fixed_0.2,0.20000000,0.20000000,1716,132,169,1679,4,50412.26383746,43556.19595557,27432.67252733,5103.42857143,154.28571429,164.57142857,-11338.95199966,182.50000000,182.85714286,Base
47,fixed_0.2,0.20000000,0.20000000,1679,135,167,1647,0,52173.36325081,45077.78584870,28285.40857223,5103.42857143,154.28571429,164.57142857,-12007.80584790,182.75000000,182.85714286,Base
48,fixed_0.2,0.20000000,0.20000000,1647,149,171,1625,5,64823.68234719,56007.66154797,25689.92524885,5103.42857143,154.28571429,164.57142857,-25533.16487054,182.00000000,182.85714286,Base
49,fixed_0.2,0.20000000,0.20000000,1625,158,166,1617,2,65981.61012162,57008.11114508,22140.34110671,5103.42857143,154.28571429,164.57142857,-30083.19860979,182.75000000,182.85714286,Base
50,fixed_0.2,0.20000000,0.20000000,1617,135,166,1586,1,47362.05713678,40920.81736617,26505.73245860,5103.42857143,154.28571429,164.57142857,-9630.51347900,182.00000000,182.85714286,Base
51,fixed_0.2,0.20000000,0.20000000,1586,125,167,1544,1,49444.95750585,42720.44328505,24177.44247378,5103.42857143,154.28571429,164.57142857,-13758.42938270,182.25000000,182.85714286,Base
52,fixed_0.2,0.20000000,0.20000000,1544,146,170,1520,4,54241.19177071,46864.38968989,25682.98883840,5103.42857143,154.28571429,164.57142857,-16396.82942292,182.00000000,182.85714286,Base
53,fixed_0.2,0.20000000,0.20000000,1520,147,170,1497,4,54291.79300930,46908.10916004,24228.51957358,5103.42857143,154.28571429,164.57142857,-17895.01815788,182.00000000,182.85714286,Base
54,fixed_0.2,0.20000000,0.20000000,1497,157,172,1482,5,57108.67500978,49341.89520845,28700.90463759,5103.42857143,154.28571429,164.57142857,-15856.41914230,182.25000000,182.85714286,Base
55,fixed_0.2,0.20000000,0.20000000,1482,161,169,1474,3,64685.01115396,55887.84963702,22832.84610160,5103.42857143,154.28571429,164.57142857,-28270.43210685,182.75000000,182.85714286,Base
56,fixed_0.2,0.20000000,0.20000000,1474,227,174,1527,6,85008.95228282,73447.73477236,23938.52877445,5103.42857143,154.28571429,164.57142857,-44724.63456934,182.75000000,182.85714286,Base
57,fixed_0.2,0.20000000,0.20000000,1527,225,166,1586,2,79439.93446171,68636.10337492,25940.88831576,5103.42857143,154.28571429,164.57142857,-37910.64363059,182.75000000,182.85714286,Base
58,fixed_0.2,0.20000000,0.20000000,1586,234,169,1651,3,89369.01005200,77214.82468493,28422.75723537,5103.42857143,154.28571429,164.57142857,-44007.49602099,182.25000000,182.85714286,Base
